Stat,Total,Mean,Dev,Min,Max
Call Wait,12261,6.281415,4.776826,0.000000,31.315765
Call in System,9442,9.752509,4.087556,1.004345,19.684191
Call Duration,9442,5.481248,2.582245,1.000407,9.998804
Calls Attended,12261,0.770084,0.420796,0.000000,1.000000
Client Wait,29422,10.358609,25.812424,0.000000,310.274037
Client in System,24342,19.636214,30.489836,0.202444,331.357688
Manager Wait,4939,44.560014,49.211696,0.000000,310.274037
Manager Duration,4938,10.127063,3.809828,0.215727,26.741799
Teller Wait,7510,3.196804,5.482631,0.000000,44.117299
Teller Duration,7509,7.052402,2.916333,0.209480,18.358931
ATM Wait,16973,3.575153,5.288062,0.000000,42.662593
ATM Duration,16972,4.139690,1.868442,0.201759,11.420893
