Stat,Total,Mean,Dev,Min,Max
Call Wait,120471,6.232930,4.790617,0.000000,48.987263
Call in System,93191,9.732696,4.105017,1.000119,19.975167
Call Duration,93191,5.493792,2.592358,1.000033,9.999874
Calls Attended,120471,0.773564,0.418526,0.000000,1.000000
Client Wait,293238,9.608537,23.912859,0.000000,406.266082
Client in System,242512,18.733024,28.397076,0.200681,434.647716
Manager Wait,49413,40.455321,46.037706,0.000000,406.266082
Manager Duration,49413,10.099489,3.879874,0.203189,26.832446
Teller Wait,74089,3.042558,5.303020,0.000000,53.848460
Teller Duration,74089,7.066864,2.895610,0.200799,21.990956
ATM Wait,169736,3.494541,5.040700,0.000000,53.240260
ATM Duration,169735,4.140539,1.865045,0.200062,13.267173
