Stat,Total,Mean,Dev,Min,Max
Call Wait,120626,5.742840,4.414164,0.000000,25.362012
Call in System,120626,9.731761,3.687520,1.001099,19.957843
Call Duration,97745,5.499256,2.595543,1.000000,9.999725
Calls Attended,120626,0.810315,0.392054,0.000000,1.000000
Client Wait,293180,8.812452,21.723697,0.000000,361.870354
Client in System,242159,17.800709,26.021631,0.200585,393.747934
Manager Wait,49856,35.653974,42.199434,0.000000,361.870354
Manager Duration,49855,10.097285,3.876240,0.203520,27.549700
Teller Wait,73323,2.964331,5.174088,0.000000,59.846575
Teller Duration,73322,7.091266,2.879944,0.201974,19.403691
ATM Wait,170001,3.463017,5.041185,0.000000,62.147405
ATM Duration,170000,4.139222,1.861857,0.200389,12.275606
