Stat,Total,Mean,Dev,Min,Max
Call Wait,12068,5.701660,4.406541,0.000000,22.094143
Call in System,12068,9.671804,3.686608,1.001099,19.830034
Call Duration,9797,5.451216,2.584267,1.000000,9.998627
Calls Attended,12068,0.811816,0.390875,0.000000,1.000000
Client Wait,29203,8.837090,23.547547,0.000000,361.870354
Client in System,24218,17.747999,27.856636,0.202919,393.747934
Manager Wait,5008,35.389655,47.470118,0.000000,361.870354
Manager Duration,5007,10.133043,3.914927,0.210398,24.764223
Teller Wait,7156,2.789549,4.942664,0.000000,51.844464
Teller Duration,7156,7.062615,2.881191,0.205174,18.595667
ATM Wait,17039,3.572752,5.250746,0.000000,45.755213
ATM Duration,17039,4.136116,1.866040,0.201708,11.671191
